Unlimited Swipes,New York,NY
Legion,Lynchburg,VA
Carolina Reign,Winston-Salem,NC
Boomtown Pandas,Madison,WI
Igneous Ultimate,Bend,OR
Instant Karma,Tucson,AZ
Sir Walter Rowdy,Raleigh,NC
Spirit Fowl,Saint Paul,MN
Buckwild,Sacramento,CA
AC Bandits,Oakland,CA
Wildstyle,Austin,TX
Mishigami,East Lansing,MI
Naughty Love,Huntington Beach,CA
Toast,Grand Rapids,MI
The Strangers,Westminster,CO
Free Ride,Columbia,MO
Sunken Circus,Portland,ME
Townies,Ithaca,NY
OutKast,Atlanta,GA
Crucible,Pittsburgh,PA
Hairy Otter,Nashville,TN
Lord Fairfax,Fairfax,VA
Balloon,College Station,TX
Cutthroat,Reno,NV
Flying Circus Disc Club,Portland,OR
BITMAP,Philadelphia,PA
Los  Heros,Bloomington,IN
The Abusement Park,South Bend,IN
Burn Cycle,Tallahassee,FL
Fiesta,San Diego,CA
HAOS,Watertown,MA
Dumpster Fire,North Charleston,SC
Throws of Passion,Washington,DC
Rainier Mountaineers,Seattle,WA
Bluffdragons,La Crosse,WI
Moonshine,Lexington,KY
DTH,Cambridge,MA
Nautilus,Farmington,CT
Stackcats,Chicago,IL
FLI,Long Island,NY
8 Bit Heroes,Frederick,MD
Bulleit Train,Seattle,WA
North Coast,Cleveland,OH
Lakefire,Dallas/Fort Worth Metroplex,TX
Mixed on the Rock,Little Rock,AR
RUT,Burlington,VT
Shipwreck,Woods Hole,MA
Skyhawks,South Bend,IN
Jabba the Huck,Chicago,IL
Drunk in Space,Boston,MA
Varsity,New York,NY
Rainbow,Somerville,MA
Liquid Hustle B,Indianapolis,IN
Slam,Greenville,SC
Mixtape,Boulder,CO
k0d,Ft. Miami,FL
Providence Mob,Providence,RI
I-79,Pittsburgh/Erie,PA
Fifth Element,Louisville,KY
Doppler Effect,Detroit,MI
Pandas,Montclair,NJ
Albany Airbenders,Albany,NY
Pronghorn,Boise,ID
Stormborn,Washington,DC
Mud Turtles,Houston,TX
Thunderpants the Magic Dragon,Dayton,OH
Norfolkin' Around,Norfolk,VA
Mystery Box,Farmington,ME
Springs Mixed Ulty Team (SMUT),Colorado Springs,CO
Dead Reckoning,Portland,ME
Special Tactics,Austin,TX
Force Collins,Fort Collins,CO
First Order,Roanoke,VA
Dreamcatchers Ultimate,Austin,TX
Turnstyle,New York,NY
Goosebumps and Hucks,Columbus,OH
Get A Baby,Plymouth,NH
